chassi,pps,percentil_tiktok,percentil_nps,percentil_visits,percentil_snapon,percentil_mystery,percentil_chatbot,percentil_download
LGXC74C45T0032075,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00000000","0,00000000","0,00100000"
LGXC74C47T0018775,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00000000","0,00000000","0,00100000"
LGXCD4C49T0043492,"R$ 299.800,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0C74C43T5026118,"R$ 199.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00000000","0,00000000","0,00000000"
LC0C74C40T5024892,"R$ 199.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00000000","0,00000000","0,00000000"
LC0C74C43T5026510,"R$ 199.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00000000","0,00000000","0,00000000"
LC0C74C47T5023657,"R$ 199.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00000000","0,00000000","0,00000000"
LC0C74C46T5017686,"R$ 199.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00000000","0,00000000","0,00000000"
LC0C74C40T5025315,"R$ 199.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00100000"
LC0C74C41T5018079,"R$ 199.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00100000"
LC0C74C40T5025508,"R$ 199.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00000000","0,00000000","0,00000000"
LC0CE4CC6T0005144,"R$ 149.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0CE4CC5T0004339,"R$ 149.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0CE4CC9T0007261,"R$ 149.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0C74C42T5004319,"R$ 199.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0C74C49T5017696,"R$ 199.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0C74C45T5018523,"R$ 199.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0C74C44T5018092,"R$ 199.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0CE4CB7T4002690,"R$ 182.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00100000"
LC0CE4CBXT4001775,"R$ 182.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0CE4CB8T4002343,"R$ 182.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00100000"
LC0CE4CB0T4001820,"R$ 182.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0CE4CB0T4002286,"R$ 182.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00000000","0,00000000","0,00000000"
LC0CE4CB0T4002773,"R$ 182.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00000000","0,00000000","0,00000000"
LC0CE4CB0T4002160,"R$ 182.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00000000","0,00000000","0,00000000"
LC0CE4CB0T4002157,"R$ 182.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00000000","0,00000000","0,00000000"
LC0CE4CB8S0019522,"R$ 184.800,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXCF6CD8S2002344,"R$ 249.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00000000","0,00000000","0,00000000"
LGXCF6CD0S2005738,"R$ 249.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00000000","0,00000000","0,00000000"
LGXCF6CDXS2001535,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00100000"
LGXCF6CD4S2005712,"R$ 249.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00000000","0,00000000","0,00000000"
LGXCF6CD0S2005643,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00000000","0,00000000","0,00100000"
LGXCF6CD4S2005788,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00000000","0,00000000","0,00100000"
LGXCF6CD4S2005810,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00000000","0,00000000","0,00100000"
LGXCF6CD3S2005748,"R$ 249.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXCF6CD5S2004018,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0C74C40T5017859,"R$ 199.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0C74C40T5018249,"R$ 199.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0C74C40T5017764,"R$ 199.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0C74C40T5018588,"R$ 199.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C49T0049705,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C49T0050630,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C4XT0052063,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C4XT0050684,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C4XT0052029,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C40T0044277,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C4XT0052032,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C4XT0050636,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C4XT0050667,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C4XT0052015,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXCD4C41T0054468,"R$ 299.800,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXCD4C46T0045815,"R$ 299.800,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXCD4C47T0044480,"R$ 299.800,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXCD4C47T0044821,"R$ 299.800,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXCD4C47T0044818,"R$ 299.800,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXCD4C41T0055118,"R$ 299.800,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXCD4C48T0044391,"R$ 299.800,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXCD4C41T0055345,"R$ 299.800,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXCF6CD9S2001669,"R$ 249.990,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00000000","0,00000000","0,00100000"
LC0CE4CB8S0019570,"R$ 184.800,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXCD4C44T0046834,"R$ 299.800,00","0,00300000","0,00300000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C40T0052122,"R$ 249.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C44T0048915,"R$ 249.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C40T0053075,"R$ 249.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LGXC74C45T0024803,"R$ 249.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0C74C40T5021961,"R$ 199.990,00","0,00300000","0,00000000","0,00100000","0,00000000","0,00200000","0,00000000","0,00000000"
LC0CE4CC0S0037361,,,,,,,,
LGXC74C44T0002548,,,,,,,,
LGXC74C44T0002484,,,,,,,,
LGXC74C44T0001884,,,,,,,,
LGXC74C44T0000914,,,,,,,,
LGXC74C44T0000864,,,,,,,,
LGXC74C44T0000802,,,,,,,,
LGXC74C44T0000623,,,,,,,,
LGXC74C44T0000606,,,,,,,,
LGXC74C44T0000041,,,,,,,,
LGXC74C43T0003254,,,,,,,,
LGXC74C43T0003240,,,,,,,,
LGXC74C43T0001777,,,,,,,,
LGXC74C43T0001763,,,,,,,,
LGXC74C43T0001746,,,,,,,,
LGXC74C43T0001195,,,,,,,,
LGXC74C43T0001181,,,,,,,,
LGXC74C43T0001178,,,,,,,,
LGXC74C43T0001150,,,,,,,,
LGXC74C43T0000998,,,,,,,,
LGXC74C43T0000712,,,,,,,,
LGXC74C42T0002483,,,,,,,,
LGXC74C42T0001950,,,,,,,,
LGXC74C42T0001897,,,,,,,,
LGXC74C42T0001852,,,,,,,,
LGXC74C42T0001849,,,,,,,,
LGXC74C40T0002501,,,,,,,,
