idnfsexterno,dta_emplacamento
A25313881V210,04/02/2025
A25221791V210,12/02/2025
A251150511V210,05/02/2025
A251150561V210,07/02/2025
A25313961V210,06/02/2025
A251150801V210,28/02/2025
A25313991V210,06/02/2025
A2548241V210,06/02/2025
A25718771V210,06/02/2025
A2548261V070,06/03/2025
A2548271V210,06/03/2025
A25718831V210,06/02/2025
A25221931V210,06/02/2025
A25221941V210,10/02/2025
A25221951V070,12/02/2025
A25221981V210,07/02/2025
A25222001V210,17/02/2025
A25222011V210,10/02/2025
A251151461V210,07/02/2025
A25222031V210,12/02/2025
A25314051V210,14/02/2025
A251151581V210,11/02/2025
A2554021V210,10/02/2025
A251151801V210,07/02/2025
A25222241V210,12/02/2025
A25222271V210,13/02/2025
A25222281V210,13/02/2025
A25610391V210,13/02/2025
A25610401V210,11/02/2025
A25314141V210,11/02/2025
A25314161V210,11/02/2025
A2548331V210,11/02/2025
A25222391V210,19/02/2025
A2548341V210,17/02/2025
A25314191V210,11/02/2025
A25719021V210,11/02/2025
A2554121V070,25/04/2025
A25314211V210,11/02/2025
A25222441V210,12/02/2025
A25711281551280VD,
A25314241V210,12/02/2025
A251152801V210,25/02/2025
A25222451V210,17/02/2025
A2548351V210,11/02/2025
A25314251V210,13/02/2025
A25719121V210,12/02/2025
A25314281V210,12/02/2025
A25314291V210,12/02/2025
A2554151V210,18/02/2025
A25314321V210,12/02/2025
A25314331V210,13/02/2025
A2551128715338VD,
A25610531V210,13/02/2025
A25610551V210,12/02/2025
A2554181V210,14/02/2025
A25314341V210,12/02/2025
A25222601V210,18/02/2025
A25719251V210,12/02/2025
A25314361V210,25/02/2025
A25719291V210,14/02/2025
A2554201V210,20/02/2025
A2554221V210,14/02/2025
A25610621V210,14/02/2025
A25222651V210,13/02/2025
A251154081V210,14/02/2025
A251154091V210,14/02/2025
A25314401V210,14/02/2025
A25222661V210,18/02/2025
A25314421V210,14/02/2025
A2548381V210,17/02/2025
A25222701V210,14/02/2025
A251154291V210,14/02/2025
A25222731V210,19/02/2025
A25610651V210,18/02/2025
A25222751V210,14/02/2025
A25222781V210,14/02/2025
A25719411V210,14/03/2025
A25222861V210,19/02/2025
A2554251V210,19/02/2025
A2554271V210,19/02/2025
A25610681V210,14/02/2025
A251154721V210,17/02/2025
A25222941V210,20/02/2025
A2554281V210,17/02/2025
A25314461V210,19/02/2025
A25222951V210,24/02/2025
A2548391V210,17/02/2025
A251154791V210,19/02/2025
A251154841V210,17/02/2025
A25719581V210,20/02/2025
A25719591V210,19/02/2025
A25314471V210,19/02/2025
A25314481V210,17/02/2025
A25223031V210,19/02/2025
A251154851V210,18/02/2025
A25314491V210,11/03/2025
A2554291V210,20/02/2025
A25719611V210,18/02/2025
A25223081V210,20/02/2025
A25314551V210,17/02/2025
A25314561V210,18/02/2025
A25610711V210,18/02/2025
A25719651V210,25/02/2025
A251154911V210,17/02/2025
A25610721V210,18/02/2025
A25314601V210,17/02/2025
A25314611V210,19/02/2025
A25314621V210,18/02/2025
A25719701V210,21/02/2025
A251155051V210,18/02/2025
A251155091V210,25/02/2025
A2554311V210,20/02/2025
A2548441V210,18/02/2025
A251155161V210,21/02/2025
A25719731V210,18/02/2025
A25719741V210,18/02/2025
A25610751V210,19/02/2025
A251155281V210,19/02/2025
A251155291V210,18/02/2025
A2548451V210,18/02/2025
A2554321V210,20/02/2025
A2554331V210,27/02/2025
A25610781V210,18/02/2025
A25314701V210,18/02/2025
A25719771V210,18/02/2025
A2548481V210,18/02/2025
A251155451V210,20/02/2025
A25719811V210,19/02/2025
A251155491V210,18/02/2025
A251155501V210,25/02/2025
A25610811V210,19/02/2025
A25719821V210,27/02/2025
A25314731V210,21/02/2025
A25223191V210,26/02/2025
A25223201V210,06/03/2025
A25223241V210,07/03/2025
A251155581V210,18/02/2025
A25610841V210,20/02/2025
A25223291V210,21/02/2025
A251155761V210,20/02/2025
A251155771V210,24/02/2025
A25610851V210,20/02/2025
A25719911V210,21/02/2025
A251155861V210,28/02/2025
A25610901V210,19/02/2025
A251155911V210,24/02/2025
A25610911V210,20/02/2025
A25223321V210,25/02/2025
A25314951V210,26/02/2025
A25314961V210,20/02/2025
A2554431V210,24/02/2025
A25223381V210,05/03/2025
A2554461V210,21/02/2025
A25223391V210,27/02/2025
A25223401V210,24/02/2025
A25720051V210,25/02/2025
A2554471V210,20/02/2025
A25610951V210,21/02/2025
A2554481V210,20/02/2025
A25610961V210,21/02/2025
A25315731V210,21/02/2025
A25315741V210,20/02/2025
A25610971V210,21/02/2025
A251156701V210,28/02/2025
A251156711V210,24/02/2025
A25610991V210,21/02/2025
A25223821V210,25/02/2025
A25223831V210,24/02/2025
A25315801V210,24/02/2025
A25223851V210,25/02/2025
A25315821V210,27/02/2025
A251156871V210,24/02/2025
A251156881V210,21/02/2025
A25223861V210,25/02/2025
A2554501V210,21/02/2025
A25720181V210,24/02/2025
A25611051V210,24/02/2025
A25720201V210,21/02/2025
A2554541V210,25/02/2025
A25223981V210,24/02/2025
A25223991V210,24/02/2025
A25611071V210,26/02/2025
A251157521V070,25/02/2025
A2548671V210,26/02/2025
A25611081V210,24/02/2025
A251157671V210,25/02/2025
A251157691V210,25/02/2025
A25315901V210,27/02/2025
A25720241V210,24/02/2025
A251157731V210,27/02/2025
A251157741V210,24/02/2025
A25224141V210,25/02/2025
A251157811V210,24/02/2025
A2554561V210,24/02/2025
A25311651151658VD,
A25611131V210,25/02/2025
A251157971V070,25/02/2025
A251158011V210,24/02/2025
A251158031V210,24/02/2025
A251158051V210,25/02/2025
A251158081V210,25/02/2025
A25315951V210,27/02/2025
A25315961V210,25/02/2025
A25224271V210,25/02/2025
A2554591V210,25/02/2025
A25315971V210,28/02/2025
A251158321V210,27/02/2025
A25315981V210,25/02/2025
A25224281V210,28/02/2025
A251158341V210,06/03/2025
A25224301V210,27/02/2025
A25315991V210,25/02/2025
A251158471V210,25/02/2025
A251158481V210,26/02/2025
A25316001V210,25/02/2025
A251158631V210,25/02/2025
A2554601V210,27/02/2025
A25316011V210,25/02/2025
A25316021V210,25/02/2025
A25316031V210,26/02/2025
A251158791V210,27/02/2025
A25224331V210,06/03/2025
A25224371V210,27/02/2025
A25224401V210,25/02/2025
A2548911V210,25/02/2025
A251159131V210,25/02/2025
A25720401V210,27/02/2025
A25224421V210,27/02/2025
A25611201V210,25/02/2025
A25611241V210,25/02/2025
A25720441V210,27/02/2025
A25720471V210,26/02/2025
A25224501V210,11/03/2025
A251159441V210,27/02/2025
A251159471V210,27/02/2025
A25720511V210,26/02/2025
A251159481V210,27/02/2025
A25224521V210,05/03/2025
A25611281V210,26/02/2025
A25316101V210,27/02/2025
A25720531V210,27/02/2025
A25316131V210,27/02/2025
A251159521V210,27/02/2025
A25720541V210,05/03/2025
A25316141V210,27/02/2025
A251159531V210,27/02/2025
A2521450551824VD,
A251159581V210,28/02/2025
A25224631V210,07/03/2025
A25224641V210,28/02/2025
A2548941V210,27/02/2025
A25611321V210,27/02/2025
A25316271V210,27/02/2025
A25224661V210,27/02/2025
A25720611V210,27/02/2025
